title,text,image_url,image_file
خانه طاهری | به جا مانده از دوره قاجار,"حال که از خانه کلانتر دیدن کرده‌اید، از خانه تاریخی دیگری در چندقدمی آن بازدید کنید. خانه طاهری، یکی از مکان های دیدنی سمنان است که باید ببینید. قدمت این خانه به دوران قاجار می‌رسد و تماشای معماری چشم‌نواز آن از جاذبه‌های سفرتان به سمنان خواهد بود.
نشانی: جنوب‌غربی سمنان، محله اسفنجان، خیابان ابوذر",,
عمارت و باغ امیر | یادگار معمارباشی,"در دوران قاجاریه، استاد معمارباشی به‌ دستور یکی از تاجران سمنان، حاج میرزا آقا فامیلی، در نزدیکی باغ امیر اعظم عمارتی بنا کرد که به همین سبب به عمارت امیر معروف شده است. این بنا به‌ پیروی از سبک معماری صفوی ساخته شده و اکنون محل استقرار موزه مردم‌شناسی است.
نشانی: سمنان، خیابان باغ فردوس",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-16.jpg,images/image_12.jpg
موزه حیات وحش و تاریخ طبیعی | بازدید از سنگواره‌ گیاهان و جانوران,"در بازدید از جاهای دیدنی سمنان که اغلب آثار تاریخی هستند، خوب است برای ایجاد تنوع، تماشای این موزه را از دست ندهید. موزه حیات وحش و تاریخ طبیعی سمنان، شامل دو بخش است که بخش اول، ویژه تاریخ طبیعی و بخش دوم مربوط به تنوع زیستی است. می‌توانید سنگواره گیاهان و جانوران را در اولین قسمت ببینید و در بخش دوم به تماشای شگفتی اجزای بدن پنج گروه از مهره‌داران استان سمنان سرگرم شوید که به‌ شکل‌های گوناگون نگهداری می‌شوند.
نشانی: سمنان، محله سوکان، میدان استاندارد ساعت بازدید: ساعت ۹ صبح تا ۱۷ مبلغ بلیت: ۴۰٫۰۰۰ ریال",,
موزه مهر و سکه کومش | مکانی برای علاقمندان به تاریخ,"از دیگر جاذبه های گردشگری سمنان می‌توان به این موزه تماشایی که از موزه‌های تخصصی است، اشاره کرد. حدود یک دهه از عمر تاسیس موزه مهر و سکه می‌گذرد و بازدید از آن برای تاریخ‌دوستان و ماجراجویان، جذاب است.
نشانی: سمنان، خیابان امام‌خمینی، تیمچه تکیه پهنه ساعت بازدید: همه‌روزه، به‌جز روزهای سوگواری و تعطیلات رسمی. نوبت صبح ساعت ۹ تا ۱۳، نوبت عصر ساعت ۱۶ تا ۲۰ مبلغ بلیت: ۳۰٫۰۰۰ ریال مبلغ بلیت اتباع خارجی: ۱۵۰٫۰۰۰ ریال",,
سرای نقش جهان قومس | از تاریخ تا تجارت,"این سرای تاریخی واقع در بنای مرمت‌شده کاروان‌سرای کهنه‌دژ، توسط مرحوم سیف‌الله میرزا جهانبانی، حاکم سمنان و فرزند فتحعلی‌شاه قاجار، وقف شده بود. حدود ۵ سال پیش، سرای نقش جهان، با حفظ همن معماری کاربری تجاری پیدا کرد. هم‌اکنون تعدادی فروشگاه و رستوران سنتی در این سرا هستند.
نشانی: سمنان، محله ناسار، خیابان سعدی، خیابان شهدا، خیابان کهنه‌دژ ساعت بازدید: همه‌روزه از ساعت ۸ تا ۲۲",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-7.jpg,images/image_15.jpg
امامزاده علی بن جعفر | عبادتگاهی از دوره صفویه,"فهرست جاهای دیدنی سمنان کماکان ادامه دارد. نوبت می‌رسد به امامزاده‌ای که تا قبل از انقلاب، به‌ دلیل نداشتن اطلاع دقیق از شجره آن، امامزاده آل‌کی خوانده می‌شد. امامزاده علی بن جعفر، فرزند امام جعفر صادق بوده است. پیشینه این بنا به دوران صفویه و قاجار می‌رسد.
نشانی: سمنان، خیابان رجایی",,
امامزاده یحیی بن موسی | جاذبه‌ ای مذهبی در کویر,"از میان جاهای دیدنی سمنان، نوبت به بقعه‌ای می‌رسد که به امامزاده یحیی بن موسی مربوط می‌شود. این امامزاده، فرزند امام موسی کاظم است. بنای این امامزاده، شامل بقعه گنبدی‌شکل بزرگ و ایوانی کاشی‌کاری‌شده است.
نشانی: سمنان، انتهای بازار جنوبی سمنان، جنوب‌غربی تکیه پهنه",,
برج کارخانه نساجی سمنان | برجی که سوت می زند!,"برج کارخانه نساجی، یکی دیگر از جاهای دیدنی سمنان است که از دوران پهلوی اول به یادگار مانده است. زیبایی نمای آجری این کارخانه و حوض برجای‌مانده از روزگار قدیم، برای تاریخ دوستان جالب توجه است. در میان دیوارهای حیاط این کارخانه، بلندای برج کارخانه نگاهتان را به‌سوی خود می‌کشاند. سوت این برج، در ساعت‌های ۶، ۱۴ و ۲۲ به صدا درمی‌آمده و معنایش پایان یک نوبت کاری و شروع نوبت کاری جدید بوده است. هم‌اکنون سوت این برج در باغ موزه امیر نصب شده و در ساعت مخصوصی از روز، صدایش به گوش مردم می‌رسد.
نشانی: سمنان، بین خیابان‌های قدس و فردوسی",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-17.jpg,images/image_18.jpg
پارک آبی گوت که مال | لذت آب‌ تنی در هوای گرم,"اگر جویای مکانی تفریحی در سمنان هستید که از گرمای شهر به آن پناه ببرید، مجموعه پارک آبی گوت که مال که به پارک آبی آبسان نیز شناخته می‌شود، انتخاب مناسبی برای شماست. این مجموعه که دارای سرسره‌های سرعتی و آهسته، سونا، جکوزی و دیگر امکانات تفریحی است، لحظات هیجان‌انگیزی را برای شما رقم می‌زند.
نشانی: سمنان، بلوار قائم، خیابان دانشگاه، هتل و پارک آبی گوت که مال
علاوه بر مکان های دیدنی سمنان که با آن‌ها آشنا شدید، از جاهای دیدنی اطراف سمنان نیز غفلت نکنید. لذت بازدید از جاذبه‌هایی مانند کاروان‌سروان سنگی آهوان، تپه دلازیان مشهور به هفت‌تپه، پارک جنگلی سوکان و دره خوش‌آبرود را نباید از دست بدهید.",,
جاهای دیدنی شاهرود | از کویر تا جنگل و آبشار,نوبت به معرفی شهری می‌رسد که هنگام بازدید از جاهای دیدنی سمنان، نباید از آن غافل شوید. شاهرود، همان شهر پرجاذبه‌ای است که چشمان شما را با زیبایی‌های بی‌نظیرش مسحور می‌کند. برای آشنایی با دیدنی‌های شاهرود با ما در ادامه مطلب همراه باشید.,https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-8.jpg,images/image_20.jpg
جنگل ابر | درختان در آغوش ابرها,"شاید اغراق نباشد اگر بگوییم غیرمنتظره‌ترین قسمت سفر شما به کویر، جنگل ابر است؛ به‌ویژه اگر از قبل نام آن را نشنیده باشید و تصورتان از سفر به سمنان، فراتر از رویارویی با کویر نباشد. این جنگل وسیع که در امتداد جنگل‌های شمال قرار گرفته است، بیشتر اوقات با مجموعه‌ای از ابرها محصور شده و به همین دلیل، به جنگل ابر شهرت دارد.
نشانی: استان سمنان، ۴۰ کیلومتری شمال‌شرقی شاهرود، روستای ابر مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-12.jpg,images/image_21.jpg
جنگل اولنگ | زیبا و سرشار از طبیعت,"بعد از جنگل ابر، یکی دیگر از دیدنی‌های شاهرود در انتظار غافلگیرکردن شما است. جنگل اولنگ که گنجینه‌ای از گونه‌های گیاهی و جانوری گوناگون است، زیبایی افسون‌کننده‌ای دارد و از جاهای دیدنی سمنان در بهار محسوب می‌شود.
نشانی: استان سمنان، ۵۰ کیلومتری شمال‌شرقی شاهرود مبلغ بلیت: رایگان",,
آبشار تنگه‌ داستان مجن | جلوه‌ای از هنرنمایی طبیعت,"این آبشار تماشایی در اطراف شاهرود است و پس از گذشتن از دره مجن به آن خواهید رسید. بازدید از این آبشار دیدنی که از جاذبه های گردشگری سمنان در نزدیکی شاهرود است، لحظات خاطره‌انگیزی برای شما خواهد ساخت. ناگفته نماند که به‌ دلیل کوهستانی‌بودن این منطقه، بهتر است آن را در گروه جاهای دیدنی سمنان در تابستان قرار دهید.
نشانی: استان سمنان، ۳۵ کیلومتری شمال‏‌غربی شاهرود مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-3.jpg,images/image_23.jpg
حمام چهارسوق | قدیمی ترین حمام شهر,"این حمام که به‌روایتی، کهن‌ترین حمام شاهرود است، از دیگر جاهای دیدنی در شاهرود به حساب می‌آید. قدمت این بنا به دوران صفویه و قاجار می‌رسد و برخلاف حمام‌های تاریخی دیگر در شاهرود که در عمق زمین بنا شده‌اند، این حمام فقط یک متر با سطح گذر فاصله دارد.
نشانی: استان سمنان، شاهرود، محله چهارسوق، مجاور مسجد امام حسن عسگری",,
موزه شاهرود | از شهرداری تا امانتداری تاریخ و فرهنگ,"در بازدید از جاهای دیدنی سمنان تماشای آثار موزه شاهرود را از دست ندهید؛ موزه‌ای که نگهدار شایسته‌ای برای کتاب‌های قدیمی ارزنده و نسخه‌های خطی است. این موزه در اوایل قرن چهاردهم شمسی به‌عنوان بلدیه ساخته شد و حدود ۳۵ سال قبل، نخستین موزه سمنان شد.
نشانی: استان سمنان، شاهرود، خیابان فردوسی مبلغ بلیت برای ایرانی‌ها: ۴۰٫۰۰۰ ریال مبلغ بلیت برای اتباع خارجی: ۵۰۰٫۰۰۰ ریال
از دیدنی‌های دیگر این شهر دل‌انگیز و اطراف آن، می‌توان از مسجد جامع شاهرود، بازار شاهرود، پل سرچشمه، مسجد آقا، خانه یغمایی‌ها، آرامگاه شیخ ابوالحسن خرقانی، آرامگاه بایزید بسطامی، باغ گردشگری اورس، دشت آفتابگردان و شقایق‌های کالپوش، خانه یغمایی‌ها، پارک آبشار، موزه آب، چشمه هفت‌رنگ مجن، ذخیره‌گاه زیست‌کره توران، جنگل دشت شاد، آبشار نکارمن، منطقه قطری، موزه روستایی مزج، کویر زمان‌آباد، قلعه غول‌ها، موزه حیات وحش، آبشار و قندیل‌های یخی آوستا، جنگل نام نیک و آرامگاه ارمیای نبی نام برد.",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-18.jpg,images/image_25.jpg
جاهای دیدنی گرمسار | سفر به اطراف سمنان,اگر به سمنان سفر می‌کنید، یک روز را به گردش در گرمسار اختصاص دهید. گرمسار، شهری که به خورشید تابان معروف است، قدمتی فراتر از ۳۵۰۰ ‌سال دارد. این شهر کهن در روزگار اشکانیان به خواران مشهور بود و هنوز هم گاهی سمنانی‌ها به آن خواره می‌گویند. در بازدید از جاهای دیدنی سمنان، از جاذبه‌های گرمسار غافل نشوید.,https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-1.jpg,images/image_26.jpg
پارک ملی کویر | اثر ثبت شده در فهرست یونسکو,"از دیگر جاذبه های گردشگری سمنان، پارک ملی کویر است که نام آن در فهرست میراث جهانی یونسکو نیز ثبت شده است. علاوه بر گرمسار که بخش غالب این پارک را در بر گرفته است، قسمت‌هایی از این منطقه حفاظت‌شده در استان‌های اصفهان، قم و تهران نیز قرار دارد. برای ورود به این پارک دیدنی که سکونتگاه انواع گوناگونی از گونه‌های جانوری و گیاهی است، باید مجوز اداره محیط‌ زیست داشته باشید. از مناظر تماشایی این پارک می‌توان به چشمه آبشار نمکی، چشمه سفیدآب و چشمه سیاه‌کوه اشاره کرد.
اگر به کویر گردی علاقمند هستید، مقاله بهترین کویرهای ایران را در فلای تودی مطالعه کنید.
نشانی: استان سمنان، جنوب گرمسار، حد فاصل کویر مرکزی ایران و دریاچه نمک مبلغ بلیت: هر خودرو ۵۰٫۰۰۰ ریال، هر نفر ۱۰٫۰۰۰ ریال",,
کویر ریگ جن | مثلث برمودای ایران,"در بازدید از جاهای دیدنی گرمسار، اگر اهل سفرهای ماجراجویانه باشید، دیدن نام جن برای شما کافی است تا با هیجان هرچه بیشتر، خودتان را به این کویر رازآلود برسانید. کویر ریگ جن که سومین ریگزار کشور است و مسیری دشوار برای عبور دارد، سال‌ها ناشناخته بوده است. به‌هیچ‌وجه تنها به این کویر نروید و همراه‌داشتن یک فرد بومی را فراموش نکنید. در زبان محلی، ریگ معنای «شن روان» و جن معنای «پنهان» می‌دهد. این کویر با نام کویر دشت ارواح نیز شناخته می‌شود. این کویر یکی از عجیب ترین جاهای دیدنی ایران محسوب می‌شود.
نشانی: استان سمنان، شهر گرمسار، پارک ملی کویر، کویر ریگ جن مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-19.jpg,images/image_28.jpg
خانه تاریخی باقری‌ ها | موزه‌ای به‌ نام اقوام,"از دیگر دیدنی‌ های گرمسار خانه‌ای ساخته‌شده از خشت خام متعلق به دوره قاجار است. این خانه تاریخی در حال حاضر کاربری موزه پیدا کرده و با نام موزه اقوام شناخته می‌شود. همان‌گونه که از نام این موزه پیداست، موزه اقوام آیینه‌دار پوشش و زندگی معمول اقوام گوناگون گرمسار است. آشنایی با اقوام مختلف شهر خورشید تابان، برای شما جذاب خواهد بود.
نشانی: استان سمنان، گرمسار، بلوار آیت‌الله کاشانی، خیابان سلمان فارسی",,
کاروانسرای قصر بهرام | سفر به گذشته,"اکنون که در شهر خورشید تابان هستید، خود را مهیای بازدید از بنایی کنید که کمتر از صد سال از کشف آن گذشته است. این کاروانسرای تاریخی با اسامی کاروانسرای شاه‌عباسی و رباط سیاه‌کوه نیز شناخته می‌شود. بنا بر گفته ایرج افشار، تاریخ‌پژوه، نسبت‌دادن این بنا به قصر بهرام گور به این دلیل است که بهرام پنجم ساسانی در حوالی این ناحیه به شکار می‌پرداخته است.
نشانی: استان سمنان، جنوب گرمسار، پارک ملی کویر، جنوب‌شرقی شهر جوادآباد، شمال دریاچه نمک مبلغ بلیت برای ایرانی‌ها: ۴۰٫۰۰۰ ریال مبلغ بلیت برای اتباع خارجی: ۵۰۰٫۰۰۰ ریال",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-20.jpg,images/image_30.jpg
تنگه ظلمات | در جست‌وجوی خورشید!,"در ادامه فهرست جاهای دیدنی سمنان، هنگامی که از گرمسار، خورشید تابان ایران بازدید می‌کنید، تنگه ظلمات را نیز از یاد نبرید. مسیر این کویر دشوار گذار است و ورودی آن از بیرون تاریک دیده می‌شود؛ اما با ورود به آن، پرتوهای خورشید را مشاهده خواهید کرد. دلیل شهرت این تنگه به ظلمات، تاریکی‌هایی است که در بخش‌هایی از مسیر آن وجود دارد.
نشانی: استان سمنان، گرمسار، جنوب‌شرقی پارک ملی کویر مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-5.jpg,images/image_31.jpg
آب‌انبار گرمسار | پله‌پله تا آسمان,"این آب‌انبار تاریخی که یکی دیگر از جاهای دیدنی گرمسار است، چهل پله و پاشیر بزرگ دارد که مخزنی به‌شکل استوانه و یک بادگیر بر بلندای آن قرار دارند. قدمت این بنا، به دوران قاجار می‌رسد. اگر از دوستداران بناهای تاریخی هستید، تماشای این آب‌انبار را در برنامه سفرتان قرار دهید.
نشانی: استان سمنان، گرمسار، جنوب میدان امام مبلغ بلیت: رایگان",,
